07-10 21:42:05 做多 jm2509 入场价：878.5 07-10 21:42:16 平空仓 jm2509 卖出价：878.5  盈利:0.0016666666666666668
07-10 21:42:16 做多 jm2509 入场价：878.5 07-10 21:42:26 平空仓 jm2509 卖出价：878.0  盈利:0.0016666666666666668
07-10 21:42:26 做多 jm2509 入场价：878.0 07-10 21:42:37 平空仓 jm2509 卖出价：877.5  盈利:0.002777777777777778
07-10 21:42:37 做多 jm2509 入场价：877.5 07-10 21:42:47 平空仓 jm2509 卖出价：878.5  盈利:0.0022222222222222222
07-10 21:42:47 做多 jm2509 入场价：878.5 07-10 21:42:58 平空仓 jm2509 卖出价：878.5  盈利:0.0022222222222222222
07-10 21:42:58 做多 jm2509 入场价：878.5 07-10 21:43:09 平空仓 jm2509 卖出价：879.0  盈利:0.002777777777777778
07-10 21:43:09 做多 jm2509 入场价：879.0 07-10 21:43:19 平空仓 jm2509 卖出价：878.5  盈利:0.0022222222222222222
07-10 21:43:19 做多 jm2509 入场价：878.5 07-10 21:43:30 平空仓 jm2509 卖出价：879.0  盈利:0.0022222222222222222
07-10 21:43:30 做多 jm2509 入场价：879.0 07-10 21:43:41 平空仓 jm2509 卖出价：878.5  盈利:0.0016666666666666668
07-10 21:43:41 做多 jm2509 入场价：878.5 07-10 21:43:51 平空仓 jm2509 卖出价：878.5  盈利:0.0016666666666666668
07-10 21:43:51 做多 jm2509 入场价：878.5 07-10 21:45:04 平空仓 jm2509 卖出价：878.5  盈利:0.0033333333333333335
07-10 21:45:04 做多 jm2509 入场价：878.5 07-10 21:45:15 平空仓 jm2509 卖出价：879.0  盈利:0.0033333333333333335
07-10 21:45:15 做多 jm2509 入场价：879.0 07-10 21:45:26 平空仓 jm2509 卖出价：879.0  盈利:0.0033333333333333335
07-10 21:45:26 做多 jm2509 入场价：879.0 07-10 21:45:36 平空仓 jm2509 卖出价：878.5  盈利:0.0038888888888888888
07-10 21:45:36 做多 jm2509 入场价：878.5 07-10 21:45:47 平空仓 jm2509 卖出价：878.5  盈利:0.0038888888888888888
07-10 21:45:47 做多 jm2509 入场价：878.5 07-10 21:45:58 平空仓 jm2509 卖出价：878.5  盈利:0.0044444444444444444
07-10 21:45:58 做多 jm2509 入场价：878.5 07-10 21:46:08 平空仓 jm2509 卖出价：879.0  盈利:0.002777777777777778
07-10 21:46:08 做多 jm2509 入场价：879.0 07-10 21:46:19 平空仓 jm2509 卖出价：878.5  盈利:0.002777777777777778
07-10 21:46:19 做多 jm2509 入场价：878.5 07-10 21:46:30 平空仓 jm2509 卖出价：879.0  盈利:0.0044444444444444444
07-10 21:46:30 做多 jm2509 入场价：879.0 07-10 21:46:40 平空仓 jm2509 卖出价：878.5  盈利:0.005
07-10 21:46:40 做多 jm2509 入场价：878.5 07-10 21:46:51 平空仓 jm2509 卖出价：878.5  盈利:0.005
07-10 21:46:51 做多 jm2509 入场价：878.5 07-10 21:47:01 平空仓 jm2509 卖出价：878.5  盈利:0.005
07-10 21:47:01 做多 jm2509 入场价：878.5 07-10 21:47:12 平空仓 jm2509 卖出价：879.0  盈利:0.0044444444444444444
07-10 21:47:12 做多 jm2509 入场价：879.0 07-10 21:47:23 平空仓 jm2509 卖出价：879.0  盈利:0.0044444444444444444
07-10 21:47:23 做多 jm2509 入场价：879.0 07-10 21:47:33 平空仓 jm2509 卖出价：879.0  盈利:0.0044444444444444444
07-10 21:47:33 做多 jm2509 入场价：879.0 07-10 21:47:44 平空仓 jm2509 卖出价：880.0  盈利:0.0038888888888888888
07-10 21:47:44 做多 jm2509 入场价：880.0 07-10 21:47:55 平空仓 jm2509 卖出价：879.5  盈利:0.0038888888888888888
07-10 21:47:55 做多 jm2509 入场价：879.5 07-10 21:48:05 平空仓 jm2509 卖出价：879.5  盈利:0.0033333333333333335
07-10 21:48:05 做多 jm2509 入场价：879.5 07-10 21:48:16 平空仓 jm2509 卖出价：879.5  盈利:0.0038888888888888888
07-10 21:48:16 做多 jm2509 入场价：879.5 07-10 21:48:27 平空仓 jm2509 卖出价：880.0  盈利:0.0038888888888888888
07-10 21:48:27 做多 jm2509 入场价：880.0 07-10 21:48:38 平空仓 jm2509 卖出价：880.0  盈利:0.0038888888888888888
07-10 21:48:38 做多 jm2509 入场价：880.0 07-10 21:48:48 平空仓 jm2509 卖出价：880.0  盈利:0.0038888888888888888
07-10 21:48:48 做多 jm2509 入场价：880.0 07-10 21:48:59 平空仓 jm2509 卖出价：880.5  盈利:0.0044444444444444444
07-10 21:48:59 做多 jm2509 入场价：880.5 07-10 22:36:13 平空仓 jm2509 卖出价：878.0  盈利:-0.002777777777777778
07-10 22:36:13 做多 jm2509 入场价：878.0 07-10 22:36:24 平空仓 jm2509 卖出价：878.0  盈利:-0.002777777777777778
07-10 22:36:24 做多 jm2509 入场价：878.0 07-10 22:36:35 平空仓 jm2509 卖出价：878.0  盈利:-0.0033333333333333335
07-10 22:36:35 做多 jm2509 入场价：878.0 07-10 22:36:47 平空仓 jm2509 卖出价：878.0  盈利:-0.002777777777777778
07-10 22:36:47 做多 jm2509 入场价：878.0 07-10 22:36:58 平空仓 jm2509 卖出价：878.0  盈利:-0.002777777777777778
07-10 22:36:58 做多 jm2509 入场价：878.0 07-11 09:38:17 平多仓 jm2509 卖出价：906.5  盈利:-0.0065717415115005475
07-11 09:38:17 做空 jm2509 入场价：906.5 07-11 09:46:40 平空仓 jm2509 卖出价：912.0  盈利:-0.005515719801434087
07-11 09:46:40 做多 jm2509 入场价：912.0 07-16 10:49:39 做空 jm2509 入场价：902.0 07-16 10:49:52 做空 jm2509 入场价：901.5 07-16 10:50:05 做空 jm2509 入场价：901.5 07-16 10:50:19 做空 jm2509 入场价：902.0 07-16 11:04:33 做多 jm2509 入场价：905.0 07-16 11:10:45 平多仓 jm2509 卖出价：904.5  盈利:-0.0005524861878453039
07-16 11:18:02 做空 jm2509 入场价：902.0 07-16 11:20:21 平空仓 jm2509 卖出价：904.5  盈利:-0.0022172949002217295
07-17 10:57:13 做空 jm2509 入场价：898.5 07-21 13:50:36 平多仓 jm2509 卖出价：994.0  盈利:0.024214322514167955
07-21 13:50:36 做空 jm2509 入场价：994.0 07-21 13:53:40 平空仓 jm2509 卖出价：999.0  盈利:-0.005030181086519115
07-21 14:07:50 做空 jm2509 入场价：989.5 07-22 21:07:52 做空 jm2509 入场价：1097.0 07-22 21:09:40 做多 jm2509 入场价：1103.5 07-22 21:10:31 做多 jm2509 入场价：1105.5 07-22 21:13:57 做空 jm2509 入场价：1095.0 
