07-04 13:22:46 做多 ao2509 入场价：3040.0 07-04 13:23:06 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:23:06 做多 ao2509 入场价：3040.0 07-04 13:23:26 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:23:26 做多 ao2509 入场价：3040.0 07-04 13:23:47 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:23:47 做多 ao2509 入场价：3040.0 07-04 13:24:08 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:24:08 做多 ao2509 入场价：3040.0 07-04 13:24:28 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:24:28 做多 ao2509 入场价：3040.0 07-04 13:24:49 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:24:49 做多 ao2509 入场价：3040.0 07-04 13:25:10 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:25:10 做多 ao2509 入场价：3040.0 07-04 13:25:31 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:25:31 做多 ao2509 入场价：3040.0 07-04 13:25:51 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:25:51 做多 ao2509 入场价：3040.0 07-04 13:26:12 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:26:12 做多 ao2509 入场价：3040.0 07-04 13:26:32 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:26:32 做多 ao2509 入场价：3040.0 07-04 13:26:53 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:26:53 做多 ao2509 入场价：3040.0 07-04 13:27:13 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:27:13 做多 ao2509 入场价：3040.0 07-04 13:27:34 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:27:34 做多 ao2509 入场价：3040.0 07-04 13:27:55 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:27:55 做多 ao2509 入场价：3040.0 07-04 13:28:16 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:28:16 做多 ao2509 入场价：3040.0 07-04 13:28:36 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:28:36 做多 ao2509 入场价：3040.0 07-04 13:28:57 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:28:57 做多 ao2509 入场价：3040.0 07-04 13:29:17 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:29:17 做多 ao2509 入场价：3040.0 07-04 13:29:38 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:29:38 做多 ao2509 入场价：3040.0 07-04 13:29:58 平空仓 ao2509 卖出价：3040.0  盈利:-0.001977587343441002
07-04 13:29:58 做多 ao2509 入场价：3040.0 07-04 13:30:19 平空仓 ao2509 卖出价：3046.0  盈利:-0.003955174686882004
07-04 13:30:19 做多 ao2509 入场价：3046.0 07-04 13:42:15 平多仓 ao2509 卖出价：3040.0  盈利:-0.0016414970453053185
07-04 13:42:15 做空 ao2509 入场价：3040.0 07-04 14:18:38 平空仓 ao2509 卖出价：3034.0  盈利:0.001973684210526316
07-04 14:18:38 做多 ao2509 入场价：3034.0 07-04 14:24:06 平多仓 ao2509 卖出价：3027.0  盈利:-0.0023071852340145024
07-04 14:24:06 做空 ao2509 入场价：3027.0 07-04 14:34:41 平空仓 ao2509 卖出价：3033.0  盈利:-0.002313284864507601
07-04 14:34:41 做多 ao2509 入场价：3033.0 07-04 14:46:59 平多仓 ao2509 卖出价：3030.0  盈利:-0.0009891196834817012
07-04 14:46:59 做空 ao2509 入场价：3030.0 07-04 21:00:59 做空 ao2509 入场价：3014.0 07-04 21:02:17 平空仓 ao2509 卖出价：3023.0  盈利:-0.002655160969133754
07-04 21:02:17 做多 ao2509 入场价：3023.0 07-04 21:06:22 平多仓 ao2509 卖出价：3010.0  盈利:-0.0033068783068783067
07-04 21:06:22 做空 ao2509 入场价：3010.0 07-04 21:40:33 平空仓 ao2509 卖出价：3003.0  盈利:0.0026578073089701
07-04 21:40:33 做多 ao2509 入场价：3003.0 07-04 22:35:47 平多仓 ao2509 卖出价：3007.0  盈利:0.001332001332001332
07-04 22:35:48 做空 ao2509 入场价：3007.0 07-04 22:39:58 平空仓 ao2509 卖出价：3014.0  盈利:-0.002327901563019621
07-04 22:39:58 做多 ao2509 入场价：3014.0

07-07 09:03:05 做空 ao2509 入场价：3009.0 07-07 09:06:55 平空仓 ao2509 卖出价：3015.0  盈利:-0.0019946808510638296
07-07 09:06:55 做多 ao2509 入场价：3015.0 07-07 09:14:55 平多仓 ao2509 卖出价：3011.0  盈利:-0.0009950248756218905
07-07 09:14:55 做空 ao2509 入场价：3011.0 07-07 09:19:19 平空仓 ao2509 卖出价：3020.0  盈利:-0.002656924609764198
07-07 09:19:19 做多 ao2509 入场价：3020.0 07-07 09:34:43 平多仓 ao2509 卖出价：3012.0  盈利:-0.002317880794701987
07-07 09:34:43 做空 ao2509 入场价：3012.0 07-07 09:39:13 平空仓 ao2509 卖出价：3020.0  盈利:-0.0016600265604249668
07-07 09:39:13 做多 ao2509 入场价：3020.0 07-07 09:57:05 平多仓 ao2509 卖出价：3029.0  盈利:0.002980132450331126
07-07 09:57:05 做空 ao2509 入场价：3029.0 07-07 10:30:25 平空仓 ao2509 卖出价：3035.0  盈利:-0.002311756935270806
07-07 10:30:25 做多 ao2509 入场价：3035.0 07-07 10:35:29 平多仓 ao2509 卖出价：3026.0  盈利:-0.0029654036243822075
07-07 10:35:29 做空 ao2509 入场价：3026.0 07-07 10:48:51 平空仓 ao2509 卖出价：3031.0  盈利:-0.0016523463317911435
07-07 10:48:51 做多 ao2509 入场价：3031.0 07-07 10:51:23 平多仓 ao2509 卖出价：3026.0  盈利:-0.001979544704717915
07-07 10:51:23 做空 ao2509 入场价：3026.0 07-07 11:05:46 平空仓 ao2509 卖出价：3026.0  盈利:-0.00033057851239669424
07-07 11:05:46 做多 ao2509 入场价：3026.0 07-07 13:44:39 平多仓 ao2509 卖出价：3053.0  盈利:0.008922670191672175
07-07 13:44:39 做空 ao2509 入场价：3053.0 07-07 14:38:29 平空仓 ao2509 卖出价：3041.0  盈利:0.0036041939711664484
07-07 14:38:29 做多 ao2509 入场价：3041.0 07-07 14:38:42 平空仓 ao2509 卖出价：3041.0  盈利:0.0036041939711664484
07-07 14:38:42 做多 ao2509 入场价：3041.0

07-07 21:08:34 做空 ao2509 入场价：3034.0 07-07 21:41:50 平空仓 ao2509 卖出价：3025.0  盈利:0.002637652489284537
07-07 21:41:50 做多 ao2509 入场价：3025.0 07-07 22:30:06 平多仓 ao2509 卖出价：3036.0  盈利:0.003305785123966942
07-07 22:30:06 做空 ao2509 入场价：3036.0 
